[2025-11-20 18:46:08] [INFO] Link map built with 1520 entries
[2025-11-20 18:46:08] [INFO] Found 923 HTML files to convert
[2025-11-20 18:46:08] [INFO] Auto-detected threads: 12
[2025-11-20 18:46:08] [INFO] Batch size: 200
[2025-11-20 18:46:08] [INFO] Max retries: 4
[2025-11-20 18:46:08] [INFO] Strict quality: True
[2025-11-20 18:46:08] [INFO] Checkpoint enabled: True
[2025-11-20 18:46:08] [INFO] Log file: C:\Docs\MDX\_conversion_log_20251120_184607.txt
[2025-11-20 18:46:17] [SUCCESS] Admin-Functions-new.htm -> admin\admin_functions_new_6_1.mdx - Success (Images: 0, Retries: 0, Quality: True)
[2025-11-20 18:46:17] [SUCCESS] Admin-Functions-old.htm -> admin\admin_functions_old_6_1.mdx - Success (Images: 0, Retries: 0, Quality: True)
[2025-11-20 18:46:17] [SUCCESS] Admin-Functions-v5.htm -> admin\admin_functions_v5_6_1.mdx - Success (Images: 0, Retries: 0, Quality: True)
[2025-11-20 18:46:17] [SUCCESS] Admin-Functions-v6.htm -> admin\admin_functions_v6_6_1.mdx - Success (Images: 0, Retries: 0, Quality: True)
[2025-11-20 18:46:17] [SUCCESS] Admin-Graphical-Workflows.htm -> admin\admin_graphical_workflows_6_1.mdx - Success (Images: 0, Retries: 0, Quality: True)
[2025-11-20 18:46:17] [SUCCESS] Admin-Mngmnt-Functions.htm -> admin\admin_mngmnt_functions_6_1.mdx - Success (Images: 0, Retries: 0, Quality: True)
[2025-11-20 18:46:17] [SUCCESS] Icons.htm -> admin\icons_6_1.mdx - Success (Images: 0, Retries: 0, Quality: True)
[2025-11-20 18:46:17] [SUCCESS] Model-Sections-Fields.htm -> admin\model_sections_fields_6_1.mdx - Success (Images: 0, Retries: 0, Quality: True)
[2025-11-20 18:46:17] [SUCCESS] About-Change-Mngmnt.htm -> admin_change_mngmnt\about_change_mngmnt_6_1.mdx - Success (Images: 0, Retries: 0, Quality: True)
[2025-11-20 18:46:17] [SUCCESS] Add-Change-Model.htm -> admin_change_mngmnt\add_change_model_6_1.mdx - Success (Images: 0, Retries: 0, Quality: True)
[2025-11-20 18:46:18] [SUCCESS] Add-Changes.htm -> admin_change_mngmnt\add_changes_6_1.mdx - Success (Images: 0, Retries: 0, Quality: True)
[2025-11-20 18:46:18] [SUCCESS] Change-Category.htm -> admin_change_mngmnt\change_category_6_1.mdx - Success (Images: 0, Retries: 0, Quality: False)
[2025-11-20 18:46:18] [SUCCESS] Change-CI-Category.htm -> admin_change_mngmnt\change_ci_category_6_1.mdx - Success (Images: 0, Retries: 0, Quality: False)
[2025-11-20 18:46:18] [SUCCESS] Change-Error-Code.htm -> admin_change_mngmnt\change_error_code_6_1.mdx - Success (Images: 0, Retries: 0, Quality: False)
[2025-11-20 18:46:18] [SUCCESS] Change-Priority-Calculator.htm -> admin_change_mngmnt\change_priority_calculator_6_1.mdx - Success (Images: 0, Retries: 0, Quality: True)
[2025-11-20 18:46:19] [SUCCESS] Change-Closure-Code.htm -> admin_change_mngmnt\change_closure_code_6_1.mdx - Success (Images: 0, Retries: 0, Quality: False)
[2025-11-20 18:46:19] [SUCCESS] Change-Timescale.htm -> admin_change_mngmnt\change_timescale_6_1.mdx - Success (Images: 0, Retries: 0, Quality: True)
